timestamp,cpu_utilization,network_in,network_out,memory_usage,requests,cost_per_hour,anomaly_label
2026-03-21T00:00:00+00:00,7.7118,845.56,592.08,47.29,124.0,0.0842,1
2026-03-21T00:05:00+00:00,7.6542,636.09,935.35,77.81,241.0,0.0842,1
2026-03-21T00:10:00+00:00,7.7774,966.97,306.87,30.12,415.0,0.0842,1
2026-03-21T00:15:00+00:00,9.404,772.21,519.51,68.4,498.0,0.0842,1
2026-03-21T00:20:00+00:00,7.7448,789.16,392.32,71.38,204.0,0.0842,1
2026-03-21T00:25:00+00:00,5.0053,382.33,817.04,66.24,438.0,0.0842,1
2026-03-21T00:30:00+00:00,8.6646,604.52,279.43,39.68,448.0,0.0842,1
2026-03-21T00:35:00+00:00,7.4653,397.36,718.5,70.61,386.0,0.0842,1
2026-03-21T00:40:00+00:00,7.5661,888.14,496.07,46.36,181.0,0.0842,1
2026-03-21T00:45:00+00:00,8.2318,551.1,761.33,38.93,401.0,0.0842,1
2026-03-21T00:50:00+00:00,8.4646,619.33,925.24,71.79,326.0,0.0842,1
2026-03-21T00:55:00+00:00,10.3271,442.09,679.03,56.99,271.0,0.0842,1
2026-03-21T01:00:00+00:00,9.3133,122.79,356.37,53.93,262.0,0.0842,1
2026-03-21T01:05:00+00:00,8.221,179.99,336.84,46.11,336.0,0.0842,1
2026-03-21T01:10:00+00:00,6.5234,311.03,312.47,54.17,339.0,0.0842,1
2026-03-21T01:15:00+00:00,5.9707,689.01,367.85,35.09,369.0,0.0842,1
2026-03-21T01:20:00+00:00,8.4927,923.96,110.92,50.85,408.0,0.0842,1
2026-03-21T01:25:00+00:00,10.6222,156.33,560.77,78.32,87.0,0.0842,1
2026-03-21T01:30:00+00:00,8.0833,642.29,595.71,72.07,155.0,0.0842,1
2026-03-21T01:35:00+00:00,7.7874,464.84,527.17,46.55,196.0,0.0842,1
2026-03-21T01:40:00+00:00,9.0636,352.05,949.73,30.18,465.0,0.0842,1
2026-03-21T01:45:00+00:00,5.0929,288.72,355.28,52.89,365.0,0.0842,1
2026-03-21T01:50:00+00:00,7.3754,537.04,771.8,30.41,346.0,0.0842,1
2026-03-21T01:55:00+00:00,8.9807,102.09,219.43,59.35,248.0,0.0842,1
2026-03-21T02:00:00+00:00,9.7468,639.12,252.1,39.81,213.0,0.0842,1
2026-03-21T02:05:00+00:00,7.5187,972.46,713.94,79.0,194.0,0.0842,1
2026-03-21T02:10:00+00:00,8.7532,154.58,938.31,70.07,479.0,0.0842,1
2026-03-21T02:15:00+00:00,8.4964,516.28,852.27,45.96,218.0,0.0842,1
2026-03-21T02:20:00+00:00,9.5647,464.11,584.41,46.56,334.0,0.0842,1
2026-03-21T02:25:00+00:00,5.7736,143.95,723.33,62.94,245.0,0.0842,1
2026-03-21T02:30:00+00:00,9.1365,862.9,642.47,31.59,143.0,0.0842,1
2026-03-21T02:35:00+00:00,4.971,972.57,767.77,64.8,407.0,0.0842,1
2026-03-21T02:40:00+00:00,2.7601,774.12,113.36,60.95,228.0,0.0842,1
2026-03-21T02:45:00+00:00,6.7862,832.15,136.94,57.66,232.0,0.0842,1
2026-03-21T02:50:00+00:00,6.1684,836.76,905.91,38.85,172.0,0.0842,1
2026-03-21T02:55:00+00:00,9.752,631.6,168.82,30.8,426.0,0.0842,1
2026-03-21T03:00:00+00:00,9.3285,235.66,673.51,42.88,372.0,0.0842,1
2026-03-21T03:05:00+00:00,5.5619,878.14,495.37,74.5,332.0,0.0842,1
2026-03-21T03:10:00+00:00,9.6947,770.84,123.74,72.06,373.0,0.0842,1
2026-03-21T03:15:00+00:00,5.9956,702.88,149.29,35.46,335.0,0.0842,1
2026-03-21T03:20:00+00:00,7.8275,260.61,839.27,64.13,363.0,0.0842,1
2026-03-21T03:25:00+00:00,7.4122,207.71,175.4,73.23,236.0,0.0842,1
2026-03-21T03:30:00+00:00,8.2288,318.47,617.61,53.58,377.0,0.0842,1
2026-03-21T03:35:00+00:00,9.6373,382.57,150.53,54.91,405.0,0.0842,1
2026-03-21T03:40:00+00:00,9.2768,969.18,499.27,54.24,159.0,0.0842,1
2026-03-21T03:45:00+00:00,8.6998,858.34,342.6,60.42,148.0,0.0842,1
2026-03-21T03:50:00+00:00,9.2999,162.12,310.99,53.37,424.0,0.0842,1
2026-03-21T03:55:00+00:00,8.957,339.5,961.74,34.85,253.0,0.0842,1
2026-03-21T04:00:00+00:00,6.746,791.05,223.25,56.85,94.0,0.0842,1
2026-03-21T04:05:00+00:00,6.5653,321.99,516.49,66.77,87.0,0.0842,1
2026-03-21T04:10:00+00:00,7.0601,465.5,838.39,49.2,196.0,0.0842,1
2026-03-21T04:15:00+00:00,8.9987,597.05,475.27,45.92,230.0,0.0842,1
2026-03-21T04:20:00+00:00,7.4998,106.49,843.65,31.71,246.0,0.0842,1
2026-03-21T04:25:00+00:00,12.6715,829.42,266.43,45.86,470.0,0.0842,1
2026-03-21T04:30:00+00:00,6.3614,193.75,572.65,64.44,411.0,0.0842,1
2026-03-21T04:35:00+00:00,5.8023,690.72,648.76,57.65,423.0,0.0842,1
2026-03-21T04:40:00+00:00,9.5369,913.3,844.43,67.78,216.0,0.0842,1
2026-03-21T04:45:00+00:00,10.8437,341.89,660.06,51.81,155.0,0.0842,1
2026-03-21T04:50:00+00:00,9.0114,722.91,389.49,59.59,80.0,0.0842,1
2026-03-21T04:55:00+00:00,9.6716,563.0,217.74,52.23,388.0,0.0842,1
